Item,Qtty needed,Qtty / Pack,Pack Qtty,Price / pack,Source,Extra,Category,Already owned,In Cart,Purchased,Item Total
Total,,,,,,,,,,FALSE,$997.50
Nema 23 Stepper Motor,3,1,3,$11.22,https://www.aliexpress.us/item/3256805371033523.html?spm=a2g0o.productlist.main.1.48256U7c6U7cJQ&algo_pvid=5af02068-62e8-49b9-9faf-e936f434ca01&algo_exp_id=5af02068-62e8-49b9-9faf-e936f434ca01-0&pdp_ext_f=%7B%22order%22%3A%2230%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2122.33%2111.22%21%21%21151.36%2176.01%21%4021033d1217793210182887804ed944%2112000033534013023%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6c895ead%3Bm03_new_user%3A-29895%3BpisId%3A5000000207178484&curPageLogUid=zTlWk4h0XeBM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005557348275%7C_p_origin_prod%3A,,Motor,FALSE,FALSE,TRUE,$33.66
BigTreeTech Scylla V1,1,1,1,$88.00,https://biqu.equipment/products/bigtreetech-scylla-v1-0,,Electronics,FALSE,FALSE,TRUE,$88.00
24V10A DC Switching Power Supply,1,1,1,$17.16,https://www.temu.com/24v10240w-switching-power-supply-device-transformer-adapter-converter-for-led-strip-string--cctv-camera-security-system-radio-cats--source--durable-converter--power-module-reliable-power-conversion--construction-switch-mode-power-supply-radio-equipment--security-system-installers-g-601102762144808.html?_oak_mp_inf=EKjo8aSy1ogBGiBlNDQwNThhOTFiZTI0MDM0YjZjYTc2OTY4ZWJiMTRiMSCIzPSN5TM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Ff4df03cd-cba2-4f70-be5e-fddcc2400a62.jpg&spec_gallery_id=57745&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTcxNg&_oak_gallery_order=497850140%2C1883108266%2C2126720929%2C263705901%2C308963382&search_key=56v%2010a%20power%20supply&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&refer_page_name=search_result&refer_page_id=10009_1779486944382_pqlgj1q9v9&_x_sessn_id=dfussnktdy,,Electronics,FALSE,FALSE,TRUE,$17.16
Spindle motor  + VFD power supply,1,1,1,$235.00,https://www.amazon.com/RATTMMOTOR-Air-Cooled-24000RPM-Frequency-Converter/dp/B0DSS7YH81/ref=sr_1_17?sr=8-17,,Spindle,FALSE,FALSE,FALSE,$235.00
Endstops,3,10,1,$3.33,https://es.aliexpress.com/item/32273125391.html?spm=a2g0o.detail.0.0.4430TZLUTZLUKZ&mp=1&pdp_npi=5%40dis%21EUR%21EUR%202.23%21EUR%202.04%21%21EUR%202.04%21%21%21%40211b81a317644196334361968e1ef0%2110000000087821676%21ct%21ES%213560368449%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&gatewayAdapt=glo2esp,,Electronics,FALSE,FALSE,FALSE,$3.33
2020 extrusion,40,10,4,$45.39,https://www.temu.com/goods.html?_bg_fs=1&refer_share_id=yKSFB02EidXh8LthxwkHWYt6IHraq7eO&refer_share_channel=copy_link&from_share=1&share_imessage_opt=1&goods_id=606541939851369&_oak_page_source=417&_oak_region=211&refer_share_suin=RSSBAOPPOZCTQF4RMJQGA3U6LTPTD34RHCSJUBYQONTWK3SOISVXMF6ZJNAD2D6QNWVGRZWSBA&share_img=https%3A%2F%2Fcommimg.us.kwcdn.com%2Fgoods-detail-image%2F35b7c2%2FyeUWmfsNGd%2Fd634e8c0b1a24c8db7e5592320913d88.png&share_ui_type=1,will be cut to size,Structure,FALSE,FALSE,TRUE,$181.56
corner bracket strong,20,20,1,$13.29,https://www.temu.com/goods.html?_bg_fs=1&refer_share_id=UbCRYamp0JeSCHGNZ0InvbcWPPx98iFN&refer_share_channel=copy_link&from_share=1&share_imessage_opt=1&goods_id=601099696260188&_oak_page_source=417&_oak_region=211&refer_share_suin=RSSBCFLNTEU7JDROHBQGA3U6LTPTD34RHCSJUBYQONTWK3SOUIKGGMBGI4PRMHPHVJNWNLPGFY&share_img=https%3A%2F%2Fcommimg.us.kwcdn.com%2Fgoods-detail-image%2F35b7c2%2FyeUWmfsNGd%2F14a97cb0358d4ba295721e26050cb2cf.png&share_ui_type=1,,Structure,FALSE,FALSE,TRUE,$13.29
550 mm Ball Screw,1,1,1,$42.76,https://www.temu.com/goods.html?_bg_fs=1&refer_share_id=mWwO4HzX4SqtwFtQj0oaY7VV8KkO6GVJ&refer_share_channel=copy_link&from_share=1&share_imessage_opt=1&goods_id=601102811403519&_oak_page_source=417&_oak_region=211&refer_share_suin=RSSBANK5RVKLTQ5OVRQGA3U6LTPTD34RHCSJUBYQONTWK3SPNH5ZSWX7Y5FBMEINHYT7HHIFMA&share_img=https%3A%2F%2Fcommimg.us.kwcdn.com%2Fgoods-detail-image%2F35b7c2%2FyeUWmfsNGd%2Faf96917fafdb422ea9794de30287acd6.png&share_ui_type=1,,Linear,FALSE,FALSE,TRUE,$42.76
400 mm Ball Screw,1,1,1,$25.49,https://www.aliexpress.us/item/3256804043536758.html?spm=a2g0o.productlist.main.1.1b653dc3znue8b&algo_pvid=eb0c5c08-a548-46ed-8a15-5c1e5291d729&algo_exp_id=eb0c5c08-a548-46ed-8a15-5c1e5291d729-0&pdp_ext_f=%7B%22order%22%3A%22430%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2149.99%2128.99%21%21%2149.99%2128.99%21%402101e80317762038306396720e1ebf%2112000034183215181%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6c895ead%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537347&curPageLogUid=yVyGvu0jVu0X&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004229851510%7C_p_origin_prod%3A,,Linear,FALSE,FALSE,TRUE,$25.49
Spoilboard mdf 3/4in,1,1,1,$48.98,https://www.homedepot.com/p/ULTRASTOCK-3-4-in-x-4-ft-x-8-ft-MDF-Panel-D11612490970000/304325742,,Structure,FALSE,FALSE,FALSE,$48.98
600mm Linear Rail HGR20,2,2,1,$47.12,https://www.temu.com/goods.html?_bg_fs=1&refer_share_id=5Ugg5rlVVFF6ZQ85uYuNLCWFBJr6Gqbj&refer_share_channel=copy_link&from_share=1&share_imessage_opt=1&goods_id=606374369041422&_oak_page_source=417&_oak_region=211&refer_share_suin=RSSBCM4VAOOISUZNYRQGA3U6LTPTD34RHCSJUBYQONTWK3SOV2QQFUFUAD7WKUSDQMSJBSNTGA&share_img=https%3A%2F%2Fcommimg.us.kwcdn.com%2Fgoods-detail-image%2F35b7c2%2F4jAanRjQw8%2F9767895612014d44b47ea734cac31f89.png&share_ui_type=1,,Linear,FALSE,FALSE,TRUE,$47.12
400mm Linear Rail HGR20,2,2,1,$40.01,https://www.temu.com/goods.html?_bg_fs=1&refer_share_id=kKj4rZdib9hrzRSVnZHlqqR1jbzOKBgC&refer_share_channel=copy_link&from_share=1&share_imessage_opt=1&goods_id=601099704227701&_oak_page_source=417&_oak_region=211&refer_share_suin=RSSBATQHCA4IWDUYWRQGA3U6LTPTD34RHCSJUBYQONTWK3SPB3HYBASWOKJWJPBVG7OP2DCXTI&share_img=https%3A%2F%2Fcommimg.us.kwcdn.com%2Fgoods-detail-image%2F35b7c2%2FyeUWmfsNGd%2F00e6c1f3c7b1454bbda1dbd3e5057957.png&share_ui_type=1,,Linear,FALSE,FALSE,TRUE,$40.01
2 Linear Rail MGN12H with ball screw,1,1,1,$61.12,https://www.temu.com/goods.html?_bg_fs=1&refer_share_id=dTec1peyMaopwanhS0mdnu1pjQd5V81r&refer_share_channel=copy_link&from_share=1&share_imessage_opt=1&goods_id=602800125747273&_oak_page_source=417&_oak_region=211&refer_share_suin=RSSBCKTBANQWDGAI2ZQGA3U6LTPTD34RHCSJUBYQONTWK3SPFH54NDQRFJ2YDENSQG5DFV5HIQ&share_img=https%3A%2F%2Fcommimg.us.kwcdn.com%2Fgoods-detail-image%2F35b7c2%2FyeUWmfsNGd%2F46e5e4ec4b8845c78603479416c4eeb2.png&share_ui_type=1,600mm,Linear,FALSE,FALSE,TRUE,$61.12
8x10 mm coupling,3,1,3,$3.89,https://www.temu.com/goods.html?_bg_fs=1&refer_share_id=ljQajw8N3mu9lm36RZhNSrtVHgrKIvQi&refer_share_channel=copy_link&from_share=1&share_imessage_opt=1&goods_id=601101472438506&_oak_page_source=417&_oak_region=211&refer_share_suin=RSSBDPPQINKEGHD4AZQGA3U6LTPTD34RHCSJUBYQONTWK3SOZL4PZUUNHFPXKN66S4OOAMXI4A&share_img=https%3A%2F%2Fcommimg.us.kwcdn.com%2Fgoods-detail-image%2F35b7c2%2F4jAanRjQw8%2F0896c4ba68494e2699567344cb97e92e.png&share_ui_type=1,,A axis,FALSE,FALSE,TRUE,$11.67
4th Axis and Chuck,1,1,1,$127.46,https://www.aliexpress.us/item/3256811620014610.html?spm=a2g0o.detail.0.0.4f9b2b69M9NGmL&mp=1&pdp_npi=6%40dis%21USD%21USD+357.14%21USD+178.07%21%21USD+178.07%21%21%21%4021033d9d17793213886893769eed5d%2112000056629966489%21ct%21US%21-1%21%211%210%21&gatewayAdapt=glo2usa,,Electronics,FALSE,FALSE,TRUE,$127.46
8 mm M5 screw,40,50,1,$6.46,https://www.aliexpress.com/item/1005008380620769.html?spm=a2g0o.detail.0.0.14c4m4Jim4JinI&mp=1&pdp_npi=5%40dis%21EUR%21EUR%203.36%21EUR%203.09%21%21EUR%203.03%21%21%21%40211b813b17646017639757842ea11c%2112000044788204090%21ct%21ES%213560368449%21%211%210&_gl=1*km2nyy*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MDExOTckbzM1OSRnMSR0MTc2NDYwMTc2MyRqMzAkbDAkaDA.,"8 mm, ISO7380",screws,FALSE,FALSE,TRUE,$6.46
12 mm M6 screw,80,150,1,$7.97,https://www.temu.com/goods.html?_bg_fs=1&refer_share_id=XXeZbIZO05aPTHKBdzGPC1hIoGnEmShV&refer_share_channel=copy_link&from_share=1&share_imessage_opt=1&goods_id=601101880916011&_oak_page_source=417&_oak_region=211&refer_share_suin=RSSBD5NZDOUTNOYIGRQGA3U6LTPTD34RHCSJUBYQONTWK3SOSFO72ZXRJVQOLG65DVHMFKHRLY&share_img=https%3A%2F%2Fcommimg.us.kwcdn.com%2Fgoods-detail-image%2F35b7c2%2FyeUWmfsNGd%2F15ecd1cb3c1e426590e5889520b49b3e.png&share_ui_type=1,"25 mm, ISO476",screws,FALSE,FALSE,TRUE,$7.97
"M5 T-nuts, 8-25 mm screws, washers",40,50,1,$6.46,https://www.temu.com/goods.html?_bg_fs=1&refer_share_id=f3Z1pb6T7CnJSIefbe4I1B40tCGk9DE2&refer_share_channel=copy_link&from_share=1&share_imessage_opt=1&goods_id=601104494846062&_oak_page_source=417&_oak_region=211&refer_share_suin=RSSBDACULL3KM46NXBQGA3U6LTPTD34RHCSJUBYQONTWK3SOHGGBQNNTNJCO7C4QZKE4QY3XOI&share_img=https%3A%2F%2Fcommimg.us.kwcdn.com%2Fgoods-detail-image%2F35b7c2%2F4jAanRjQw8%2F730a16ecf88a41b8933b31925a6c0f22.png&share_ui_type=1,,screws,FALSE,FALSE,TRUE,$6.46